image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC00897.JPG,554085.86054,2234,-96.1,0.9,-8.1
DSC00898.JPG,554087.49572,2234,-95.3,2,0.5
DSC00899.JPG,554089.163981,2234,-96.2,2.2,3.4
DSC00900.JPG,554090.865747,2234,-94.7,1.1,1.2
DSC00901.JPG,554092.567523,2234,-91.7,2.6,3.5
DSC00902.JPG,554094.235818,2234,-91,5.9,-5.4
DSC00903.JPG,554095.904258,2234,-91.6,6,-2.2
DSC00904.JPG,554097.605824,2234,-94.7,7.6,0.6
DSC00905.JPG,554099.341083,2234,-89.7,5.4,-3.1
DSC00906.JPG,554100.10854,2234,-90.5,5.4,4.8
DSC00907.JPG,554102.04369,2234,-91.4,4.2,-3.5
DSC00908.JPG,554104.045833,2234,-97.6,-0.8,-2.6
DSC00909.JPG,554105.981626,2234,-97.1,-4.2,-1.3
DSC00910.JPG,554107.749428,2234,-100.5,-4.6,2.4
DSC00911.JPG,554109.551109,2234,-99.9,-6.8,2.4
DSC00912.JPG,554111.319657,2234,-100.6,-8.3,4.9
DSC00913.JPG,554113.021464,2234,-103.1,-8.5,-0.4
DSC00914.JPG,554114.69088,2234,-102.5,-8.6,0.2
DSC00915.JPG,554115.790821,2234,-104.6,-7.4,0.5
DSC00916.JPG,554117.359501,2234,-103.7,-7.9,0.4
DSC00917.JPG,554118.92771,2234,-101.1,-5.8,1.6
DSC00918.JPG,554120.462263,2234,-105,-4.6,1.5
DSC00919.JPG,554122.063701,2234,-100.1,-5.5,5.9
DSC00920.JPG,554123.665431,2234,-97.4,-4.5,0.9
DSC00921.JPG,554125.233683,2234,-95,-2.4,0.3
DSC00922.JPG,554126.836526,2234,-92.6,-0.2,-0.5
DSC00923.JPG,554128.470527,2234,-93.4,-0.5,1.6
DSC00924.JPG,554130.239098,2234,-93.1,-1,2.1
DSC00925.JPG,554132.040307,2234,-89.6,-1.9,1.1
DSC00926.JPG,554144.30328,2234,48.2,4.6,8.9
DSC00927.JPG,554145.922122,2234,64.9,5.6,22.8
DSC00928.JPG,554147.556225,2234,77.9,1.6,4.5
DSC00929.JPG,554149.157674,2234,85.3,2.2,2.9
DSC00930.JPG,554150.760761,2234,83.9,1.5,-6.5
DSC00931.JPG,554152.361119,2234,83,1.8,-4
DSC00932.JPG,554153.995972,2234,76.3,2.8,-2.9
DSC00933.JPG,554155.564537,2234,78.8,2.9,-0.9
DSC00934.JPG,554157.132502,2234,74.7,5.6,0.4
DSC00935.JPG,554158.700525,2234,81.6,6.8,3.7
DSC00936.JPG,554160.336669,2234,82.1,5.4,2.2
DSC00937.JPG,554161.069271,2234,83.3,7.1,2.1
DSC00938.JPG,554162.604396,2234,68.9,1,-4
DSC00939.JPG,554164.005686,2234,68.4,4,1.9
DSC00940.JPG,554165.374057,2234,65.1,7,6.6
DSC00941.JPG,554166.775254,2234,70,5.1,8.3
DSC00942.JPG,554168.17655,2234,74.4,8.1,1.4
DSC00943.JPG,554169.644816,2234,78.2,2.1,1.3
DSC00944.JPG,554171.079449,2234,75.8,3.7,-4.9
DSC00945.JPG,554172.480963,2234,70.3,3.1,-6.1
DSC00946.JPG,554173.983528,2234,68.5,2.9,0.9
DSC00947.JPG,554175.48447,2234,75.9,0.2,7.3
DSC00948.JPG,554176.218205,2234,74.3,5.3,4.2
DSC00949.JPG,554177.819386,2234,79.2,5.8,0.6
DSC00950.JPG,554179.521283,2234,80.3,3.2,-1.7
DSC00951.JPG,554181.223233,2234,78.8,1.7,-2.1
DSC00952.JPG,554182.891438,2234,78.6,1,0.1
DSC00953.JPG,554184.526223,2234,77.5,1.2,-2.2
DSC00954.JPG,554186.094232,2234,76,1.4,0.8
DSC00955.JPG,554187.696538,2234,76.4,2.8,0.3
DSC00956.JPG,554189.297524,2234,74.4,2.1,-1.8
DSC00957.JPG,554190.899045,2234,76.4,2.3,-1.7
DSC00958.JPG,554191.667101,2234,75.7,2.6,1.3
DSC00959.JPG,554193.335157,2234,80.8,0.5,-0.8
DSC00960.JPG,554195.036709,2234,76.2,-0.3,-2.4
